Exporter Clean,Lotid,Retailer Name,Sale Date,Sale Quantity,Sales Amount,Price Four Star,Sale Price Calc,Price Difference,Variety,Packaging Style,Packaging Detail,Size,Exporter Country
AGL,BEAU9705215,COSTCO WHOLESALE,01/09/2024,400.0,14792.65,36.98,36.981625,-0.0016250000000042064,ALLISON,Clam,Clam (Generic),A,Peru
AGL,BEAU9705215,COSTCO WHOLESALE,01/09/2024,720.0,26630.64,36.99,36.987,0.0030000000000001137,ALLISON,Clam,Clam (Generic),A,Peru
AGL,BEAU9705215,COSTCO WHOLESALE,01/13/2024,480.0,15352.86,31.99,31.985125,0.004874999999998408,ALLISON,Clam,Clam (Generic),A,Peru
AGL,BEAU9705637,COSTCO WHOLESALE,01/09/2024,480.0,17753.76,36.99,36.986999999999995,0.003000000000007219,ALLISON,Clam,Clam (Generic),A,Peru
AGL,BEAU9705637,COSTCO WHOLESALE,01/09/2024,1120.0,40302.5,35.98,35.984375,-0.004375000000003126,ALLISON,Clam,Clam (Generic),A,Peru
AGL,BEAU9708195,COSTCO WHOLESALE,01/24/2024,1200.0,35984.4,29.99,29.987000000000002,0.002999999999996561,ALLISON,Clam,Clam (Generic),A,Peru
AGL,BEAU9708195,COSTCO WHOLESALE,01/24/2024,400.0,11994.8,29.99,29.987,0.0030000000000001137,ALLISON,Clam,Clam (Generic),A,Peru
AGL,BEAU9710607,SEALED SWEET INTERNATIONAL,02/16/2024,1900.0,64790.0,34.1,34.1,0.0,SWEET GLOBE,Bag,Bag (Generic),A,Peru
AGL,BEAU9719420,C.H. ROBINSON - EDEN PRAIRIE,01/24/2024,190.0,7600.0,40.0,40.0,0.0,SWEET GLOBE,Bag,BAG 18#POUCH,A,Peru
AGL,BEAU9719420,KROGER,01/25/2024,760.0,21280.0,28.0,28.0,0.0,SWEET GLOBE,Bag,BAG 18#POUCH,A,Peru
AGL,BEAU9719420,"JSTAR PRODUCE, LLC.",01/26/2024,665.0,26600.0,40.0,40.0,0.0,SWEET GLOBE,Bag,BAG 18#POUCH,A,Peru
AGL,BEAU9719420,"TOM LANGE COMPANY, INC.",01/31/2024,285.0,10687.5,37.5,37.5,0.0,SWEET GLOBE,Bag,BAG 18#POUCH,A,Peru
AGL,BMOU9274067,COSTCO WHOLESALE,02/02/2024,320.0,9600.0,30.0,30.0,0.0,TIMCO,Clam,Clam (Generic),A,Peru
AGL,BMOU9274067,COSTCO WHOLESALE,02/03/2024,960.0,28800.0,30.0,30.0,0.0,TIMCO,Clam,Clam (Generic),A,Peru
AGL,BMOU9274067,COSTCO WHOLESALE,02/05/2024,320.0,9600.0,30.0,30.0,0.0,TIMCO,Clam,Clam (Generic),A,Peru
AGL,BMOU9309899,COSTCO WHOLESALE,02/10/2024,160.0,5436.68,33.98,33.97925,0.0007499999999964757,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,BMOU9309899,COSTCO WHOLESALE,02/10/2024,1360.0,46218.75,33.98,33.984375,-0.004375000000003126,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,BMOU9309899,COSTCO WHOLESALE,02/14/2024,80.0,2714.47,33.93,33.930875,-0.0008750000000006253,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,BMOU9310230,C.H. ROBINSON - EDEN PRAIRIE,01/10/2024,1700.0,62900.0,37.0,37.0,0.0,BI-COLOR,Clam,Clam (Generic),A,Peru
AGL,BMOU9883335,COSTCO WHOLESALE,01/11/2024,100.0,3600.0,36.0,36.0,0.0,IVORY,Clam,Clam (Generic),A,Peru
AGL,BMOU9883335,COSTCO WHOLESALE,01/12/2024,1420.0,52517.81,36.98,36.98437323943662,-0.0043732394366244876,IVORY,Clam,Clam (Generic),A,Peru
AGL,BMOU9883335,COSTCO WHOLESALE,01/13/2024,80.0,2958.75,36.98,36.984375,-0.004375000000003126,IVORY,Clam,Clam (Generic),A,Peru
AGL,BMOU9889550,COSTCO WHOLESALE,01/13/2024,100.0,3698.44,36.98,36.9844,-0.004400000000003956,IVORY,Clam,Clam (Generic),A,Peru
AGL,BMOU9889550,COSTCO WHOLESALE,01/19/2024,1500.0,55474.88,36.98,36.98325333333333,-0.0032533333333333303,IVORY,Clam,Clam (Generic),A,Peru
AGL,BMOU9889740,COSTCO WHOLESALE,01/02/2024,400.0,14394.8,35.99,35.986999999999995,0.003000000000007219,ALLISON,Clam,Clam (Generic),A,Peru
AGL,BMOU9889740,COSTCO WHOLESALE,01/04/2024,720.0,25908.75,35.98,35.984375,-0.004375000000003126,ALLISON,Clam,Clam (Generic),A,Peru
AGL,BMOU9889740,COSTCO WHOLESALE,01/09/2024,480.0,17272.5,35.98,35.984375,-0.004375000000003126,ALLISON,Clam,Clam (Generic),A,Peru
AGL,BMOU9890648,COSTCO WHOLESALE,02/14/2024,1120.0,38062.5,33.98,33.984375,-0.004375000000003126,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,BMOU9890648,COSTCO WHOLESALE,02/14/2024,320.0,10875.0,33.98,33.984375,-0.004375000000003126,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,BMOU9890648,COSTCO WHOLESALE,02/17/2024,160.0,5431.66,33.95,33.947874999999996,0.002125000000006594,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,BMOU9891270,COSTCO WHOLESALE,01/06/2024,1040.0,38463.75,36.98,36.984375,-0.004375000000003126,IVORY,Clam,Clam (Generic),A,Peru
AGL,BMOU9891270,COSTCO WHOLESALE,01/09/2024,560.0,20148.38,35.98,35.97925,0.0007499999999964757,IVORY,Clam,Clam (Generic),A,Peru
AGL,BMOU9891921,COSTCO WHOLESALE,12/21/2023,800.0,28455.0,35.57,35.56875,0.0012499999999988631,ALLISON,Clam,Clam (Generic),A,Peru
AGL,BMOU9891921,COSTCO WHOLESALE,12/28/2023,640.0,22764.0,35.57,35.56875,0.0012499999999988631,ALLISON,Clam,Clam (Generic),A,Peru
AGL,BMOU9891921,COSTCO WHOLESALE,12/28/2023,160.0,5693.62,35.59,35.585125,0.004875000000005514,ALLISON,Clam,Clam (Generic),A,Peru
AGL,BMOU9892147,C.H. ROBINSON - EDEN PRAIRIE,12/28/2023,1700.0,62900.0,37.0,37.0,0.0,BI-COLOR,Clam,Clam (Generic),A,Peru
AGL,BMOU9892770,COSTCO WHOLESALE,02/14/2024,1120.0,38002.58,33.93,33.930875,-0.0008750000000006253,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,BMOU9892770,COSTCO WHOLESALE,02/22/2024,80.0,2716.71,33.96,33.958875,0.001125000000001819,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,BMOU9892770,COSTCO WHOLESALE,02/23/2024,313.0,10635.31,33.98,33.97862619808306,0.0013738019169338145,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,BMOU9892980,COSTCO WHOLESALE,12/26/2023,240.0,8518.98,35.5,35.49575,0.004249999999998977,ALLISON,Clam,Clam (Generic),A,Peru
AGL,BMOU9892980,COSTCO WHOLESALE,12/27/2023,720.0,25909.29,35.99,35.985125000000004,0.004874999999998408,ALLISON,Clam,Clam (Generic),A,Peru
AGL,BMOU9892980,COSTCO WHOLESALE,12/28/2023,80.0,2846.81,35.59,35.585125,0.004875000000005514,ALLISON,Clam,Clam (Generic),A,Peru
AGL,BMOU9892980,COSTCO WHOLESALE,12/28/2023,560.0,20151.25,35.98,35.984375,-0.004375000000003126,ALLISON,Clam,Clam (Generic),A,Peru
AGL,BMOU9893061,COSTCO WHOLESALE,02/06/2024,1600.0,47975.0,29.98,29.984375,-0.004374999999999574,TIMCO,Clam,Clam (Generic),A,Peru
AGL,BMOU9893816,COSTCO WHOLESALE,02/16/2024,1200.0,40784.4,33.99,33.987,0.0030000000000001137,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,BMOU9893816,COSTCO WHOLESALE,02/17/2024,400.0,13594.8,33.99,33.986999999999995,0.003000000000007219,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,CAIU5542270,COSTCO WHOLESALE,01/24/2024,320.0,9595.84,29.99,29.987000000000002,0.002999999999996561,ALLISON,Clam,Clam (Generic),A,Peru
AGL,CAIU5542270,COSTCO WHOLESALE,01/24/2024,80.0,2398.96,29.99,29.987000000000002,0.002999999999996561,ALLISON,Clam,Clam (Generic),A,Peru
AGL,CAIU5542270,COSTCO WHOLESALE,01/29/2024,80.0,2398.86,29.99,29.985750000000003,0.004249999999995424,ALLISON,Clam,Clam (Generic),A,Peru
AGL,CAIU5542270,COSTCO WHOLESALE,01/31/2024,1040.0,31184.53,29.99,29.985125,0.004874999999998408,ALLISON,Clam,Clam (Generic),A,Peru
AGL,CAIU5542270,COSTCO WHOLESALE,02/03/2024,80.0,2398.75,29.98,29.984375,-0.004374999999999574,ALLISON,Clam,Clam (Generic),A,Peru
AGL,CAIU5553870,COSTCO WHOLESALE,01/20/2024,560.0,19029.08,33.98,33.980500000000006,-0.0005000000000094929,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,CAIU5553870,COSTCO WHOLESALE,01/20/2024,1040.0,35339.72,33.98,33.9805,-0.0005000000000023874,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,CRLU1324216,COSTCO WHOLESALE,02/01/2024,720.0,24480.0,34.0,34.0,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,CRLU1324216,COSTCO WHOLESALE,02/02/2024,560.0,19040.0,34.0,34.0,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,CRLU1324216,COSTCO WHOLESALE,02/09/2024,320.0,10880.0,34.0,34.0,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,CRSU6064441,COSTCO WHOLESALE,01/20/2024,320.0,11520.0,36.0,36.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,CRSU6064441,COSTCO WHOLESALE,01/22/2024,640.0,19200.0,30.0,30.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,CRSU6064441,COSTCO WHOLESALE,01/24/2024,640.0,19200.0,30.0,30.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,CRSU6126939,COSTCO WHOLESALE,01/23/2024,800.0,24000.0,30.0,30.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,CRSU6126939,COSTCO WHOLESALE,01/23/2024,240.0,7200.0,30.0,30.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,CRSU6126939,COSTCO WHOLESALE,01/24/2024,560.0,16800.0,30.0,30.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,CRXU6955248,COSTCO WHOLESALE,02/14/2024,720.0,20160.0,28.0,28.0,0.0,SWEET FAVORS,Clam,Clam (Generic),A,Peru
AGL,CRXU6955248,COSTCO WHOLESALE,02/14/2024,80.0,2240.0,28.0,28.0,0.0,SWEET FAVORS,Clam,Clam (Generic),A,Peru
AGL,CRXU6955248,COSTCO WHOLESALE,02/15/2024,640.0,17920.0,28.0,28.0,0.0,SWEET FAVORS,Clam,Clam (Generic),A,Peru
AGL,CRXU6955248,COSTCO WHOLESALE,02/17/2024,160.0,4480.0,28.0,28.0,0.0,SWEET FAVORS,Clam,Clam (Generic),A,Peru
AGL,CTWU1600440,C.H. ROBINSON - EDEN PRAIRIE,12/28/2023,1700.0,62900.0,37.0,37.0,0.0,BI-COLOR,Clam,Clam (Generic),A,Peru
AGL,CTWU1600646,COSTCO WHOLESALE,01/04/2024,720.0,25910.64,35.99,35.987,0.0030000000000001137,ALLISON,Clam,Clam (Generic),A,Peru
AGL,CTWU1600646,COSTCO WHOLESALE,01/04/2024,800.0,28469.6,35.59,35.586999999999996,0.003000000000007219,ALLISON,Clam,Clam (Generic),A,Peru
AGL,CTWU1600646,COSTCO WHOLESALE,01/08/2024,80.0,2877.5,35.97,35.96875,0.0012499999999988631,ALLISON,Clam,Clam (Generic),A,Peru
AGL,CTWU1601025,COSTCO WHOLESALE,01/09/2024,320.0,11834.12,36.98,36.981625,-0.0016250000000042064,ALLISON,Clam,Clam (Generic),A,Peru
AGL,CTWU1601025,COSTCO WHOLESALE,01/09/2024,320.0,11835.84,36.99,36.987,0.0030000000000001137,ALLISON,Clam,Clam (Generic),A,Peru
AGL,CTWU1601025,COSTCO WHOLESALE,01/13/2024,720.0,23029.29,31.99,31.985125,0.004874999999998408,ALLISON,Clam,Clam (Generic),A,Peru
AGL,CTWU1601025,COSTCO WHOLESALE,01/15/2024,240.0,7676.43,31.99,31.985125,0.004874999999998408,ALLISON,Clam,Clam (Generic),A,Peru
AGL,CTWU1601278,COSTCO WHOLESALE,01/04/2024,320.0,11515.84,35.99,35.987,0.0030000000000001137,IVORY,Clam,Clam (Generic),A,Peru
AGL,CTWU1601278,COSTCO WHOLESALE,01/06/2024,880.0,31666.25,35.98,35.984375,-0.004375000000003126,IVORY,Clam,Clam (Generic),A,Peru
AGL,CTWU1601278,COSTCO WHOLESALE,01/06/2024,400.0,14391.7,35.98,35.97925,0.0007499999999964757,IVORY,Clam,Clam (Generic),A,Peru
AGL,CTWU1601365,COSTCO WHOLESALE,01/09/2024,880.0,32546.25,36.98,36.984375,-0.004375000000003126,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,CTWU1601365,COSTCO WHOLESALE,01/10/2024,80.0,2878.75,35.98,35.984375,-0.004375000000003126,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,CTWU1601365,COSTCO WHOLESALE,01/11/2024,640.0,23670.0,36.98,36.984375,-0.004375000000003126,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,CTWU1602607,SHAMROCK PRODUCE & BROKERAGE LLC,01/19/2024,190.0,6080.0,32.0,32.0,0.0,SWEET FAVORS,Bag,BAG 18#POUCH,A,Peru
AGL,CTWU1602607,SHAMROCK PRODUCE & BROKERAGE LLC,01/22/2024,95.0,3040.0,32.0,32.0,0.0,SWEET FAVORS,Bag,BAG 18#POUCH,A,Peru
AGL,CTWU1602607,SHAMROCK PRODUCE & BROKERAGE LLC,01/22/2024,190.0,6080.0,32.0,32.0,0.0,SWEET FAVORS,Bag,BAG 18#POUCH,A,Peru
AGL,CTWU1602607,SHAMROCK PRODUCE & BROKERAGE LLC,01/23/2024,95.0,3040.0,32.0,32.0,0.0,SWEET FAVORS,Bag,BAG 18#POUCH,A,Peru
AGL,CTWU1602607,SHAMROCK PRODUCE & BROKERAGE LLC,01/25/2024,95.0,3040.0,32.0,32.0,0.0,SWEET FAVORS,Bag,BAG 18#POUCH,A,Peru
AGL,CTWU1602607,SHAMROCK PRODUCE & BROKERAGE LLC,01/25/2024,95.0,3040.0,32.0,32.0,0.0,SWEET FAVORS,Bag,BAG 18#POUCH,A,Peru
AGL,CTWU1602607,BAYSHORE PRODUCE LLC,01/25/2024,380.0,12160.0,32.0,32.0,0.0,SWEET FAVORS,Bag,BAG 18#POUCH,A,Peru
AGL,CTWU1602607,"JSTAR PRODUCE, LLC.",01/25/2024,475.0,14725.0,31.0,31.0,0.0,SWEET FAVORS,Bag,BAG 18#POUCH,A,Peru
AGL,CTWU1602607,SHAMROCK PRODUCE & BROKERAGE LLC,01/26/2024,190.0,6080.0,32.0,32.0,0.0,SWEET FAVORS,Bag,BAG 18#POUCH,A,Peru
AGL,CTWU1602607,SHAMROCK PRODUCE & BROKERAGE LLC,01/26/2024,95.0,3040.0,32.0,32.0,0.0,SWEET FAVORS,Bag,BAG 18#POUCH,A,Peru
AGL,CTWU1603162,COSTCO WHOLESALE,02/07/2024,1200.0,35982.15,29.99,29.985125,0.004874999999998408,TIMCO,Clam,Clam (Generic),A,Peru
AGL,CTWU1603162,COSTCO WHOLESALE,02/09/2024,400.0,11975.0,29.94,29.9375,0.002500000000001279,TIMCO,Clam,Clam (Generic),A,Peru
AGL,CXRU1434990,COSTCO WHOLESALE,02/08/2024,320.0,9600.0,30.0,30.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,CXRU1434990,COSTCO WHOLESALE,02/10/2024,240.0,7200.0,30.0,30.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,CXRU1434990,COSTCO WHOLESALE,02/12/2024,240.0,6720.0,28.0,28.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,CXRU1434990,COSTCO WHOLESALE,02/12/2024,800.0,22400.0,28.0,28.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,CXRU1457260,COSTCO WHOLESALE,01/02/2024,1280.0,46848.0,36.6,36.6,0.0,IVORY,Clam,Clam (Generic),A,Peru
AGL,CXRU1457260,COSTCO WHOLESALE,12/30/2023,320.0,11712.0,36.6,36.6,0.0,IVORY,Clam,Clam (Generic),A,Peru
AGL,CXRU1636939,COSTCO WHOLESALE,01/19/2024,960.0,35505.0,36.98,36.984375,-0.004375000000003126,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,CXRU1636939,COSTCO WHOLESALE,01/23/2024,640.0,21734.96,33.96,33.960875,-0.0008750000000006253,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,EMCU5307609,"COSTCO WHOLESALE TAIWAN, INC",01/01/2024,1600.0,61952.0,38.72,38.72,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,EMCU5326234,"COSTCO WHOLESALE TAIWAN, INC",01/01/2024,1600.0,61952.0,38.72,38.72,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,EMCU5344285,"COSTCO WHOLESALE TAIWAN, INC",01/03/2024,1600.0,61952.0,38.72,38.72,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,EMCU5350842,"COSTCO WHOLESALE TAIWAN, INC",01/03/2024,1600.0,61312.0,38.32,38.32,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,EMCU5374314,"COSTCO WHOLESALE TAIWAN, INC",12/14/2023,42.0,0.0,0.0,0.0,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,EMCU5374314,"COSTCO WHOLESALE TAIWAN, INC",12/14/2023,1520.0,58854.4,38.72,38.72,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,EMCU5374314,"COSTCO WHOLESALE TAIWAN, INC",12/14/2023,38.0,1471.36,38.72,38.72,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,EMCU5385577,"COSTCO WHOLESALE TAIWAN, INC",12/14/2023,38.0,1471.36,38.72,38.72,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,EMCU5385577,"COSTCO WHOLESALE TAIWAN, INC",12/14/2023,1520.0,58854.4,38.72,38.72,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,EMCU5385577,"COSTCO WHOLESALE TAIWAN, INC",12/14/2023,42.0,0.0,0.0,0.0,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,EMCU5387100,"COSTCO WHOLESALE TAIWAN, INC",12/14/2023,1600.0,61952.0,38.72,38.72,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,EMCU5479022,"COSTCO WHOLESALE TAIWAN, INC",12/21/2023,1600.0,61952.0,38.72,38.72,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,EMCU5567170,"COSTCO WHOLESALE TAIWAN, INC",12/21/2023,1600.0,61952.0,38.72,38.72,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,EMCU5580043,"COSTCO WHOLESALE TAIWAN, INC",12/21/2023,1600.0,61952.0,38.72,38.72,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,EMCU5585770,"COSTCO WHOLESALE TAIWAN, INC",12/21/2023,1600.0,61952.0,38.72,38.72,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,EMCU5593502,"COSTCO WHOLESALE TAIWAN, INC",01/01/2024,1600.0,61952.0,38.72,38.72,0.0,SWEET FAVORS,Clam,Clam (Generic),A,Peru
AGL,EMCU5594617,"COSTCO WHOLESALE TAIWAN, INC",12/21/2023,1600.0,61952.0,38.72,38.72,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,EMCU5610750,"COSTCO WHOLESALE TAIWAN, INC",01/01/2024,1600.0,61952.0,38.72,38.72,0.0,SWEET FAVORS,Clam,Clam (Generic),A,Peru
AGL,EMCU5648586,"COSTCO WHOLESALE TAIWAN, INC",01/03/2024,1600.0,61952.0,38.72,38.72,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,FSCU5778149,COSTCO WHOLESALE,12/30/2023,1600.0,58560.0,36.6,36.6,0.0,IVORY,Clam,Clam (Generic),A,Peru
AGL,FSCU5784368,COSTCO WHOLESALE,02/02/2024,320.0,8960.0,28.0,28.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,FSCU5784368,COSTCO WHOLESALE,02/05/2024,1280.0,35840.0,28.0,28.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,HLBU9076418,COSTCO WHOLESALE,01/08/2024,1120.0,40320.0,36.0,36.0,0.0,ALLISON,Clam,Clam (Generic),A,Peru
AGL,HLBU9076418,COSTCO WHOLESALE,01/08/2024,480.0,17280.0,36.0,36.0,0.0,ALLISON,Clam,Clam (Generic),A,Peru
AGL,HLBU9113276,COSTCO WHOLESALE,01/04/2024,1600.0,56960.0,35.6,35.6,0.0,CANDY SNAP,Clam,Clam (Generic),A,Peru
AGL,HLBU9130479,COSTCO WHOLESALE,01/27/2024,1600.0,48000.0,30.0,30.0,0.0,ALLISON,Clam,Clam (Generic),A,Peru
AGL,HLBU9182718,COSTCO WHOLESALE,01/30/2024,400.0,13600.0,34.0,34.0,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,HLBU9182718,COSTCO WHOLESALE,01/30/2024,640.0,21760.0,34.0,34.0,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,HLBU9182718,COSTCO WHOLESALE,01/30/2024,560.0,19040.0,34.0,34.0,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,HLBU9458350,COSTCO WHOLESALE,01/04/2024,1600.0,56960.0,35.6,35.6,0.0,CANDY SNAP,Clam,Clam (Generic),A,Peru
AGL,HLBU9534608,COSTCO WHOLESALE,01/29/2024,1600.0,54400.0,34.0,34.0,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,HLBU9535688,COSTCO WHOLESALE,01/11/2024,1600.0,57600.0,36.0,36.0,0.0,CANDY SNAP,Clam,Clam (Generic),A,Peru
AGL,HLBU9557244,COSTCO WHOLESALE,01/26/2024,80.0,2720.0,34.0,34.0,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,HLBU9557244,COSTCO WHOLESALE,01/29/2024,320.0,10880.0,34.0,34.0,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,HLBU9557244,COSTCO WHOLESALE,01/30/2024,1200.0,40800.0,34.0,34.0,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,HLBU9607031,COSTCO WHOLESALE,01/30/2024,400.0,13600.0,34.0,34.0,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,HLBU9607031,COSTCO WHOLESALE,01/31/2024,1200.0,40800.0,34.0,34.0,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,HLBU9730220,COSTCO WHOLESALE,01/12/2024,1600.0,57600.0,36.0,36.0,0.0,CANDY SNAP,Clam,Clam (Generic),A,Peru
AGL,HLBU9770096,COSTCO WHOLESALE,01/04/2024,1600.0,53760.0,33.6,33.6,0.0,ALLISON,Clam,Clam (Generic),A,Peru
AGL,HLBU9847372,COSTCO WHOLESALE,01/05/2024,1600.0,56960.0,35.6,35.6,0.0,CANDY SNAP,Clam,Clam (Generic),A,Peru
AGL,HLBU9866285,COSTCO WHOLESALE,01/10/2024,1598.0,57528.0,36.0,36.0,0.0,CANDY SNAP,Clam,Clam (Generic),A,Peru
AGL,HLBU9889784,D.L.J. PRODUCE,01/19/2024,400.0,14800.0,37.0,37.0,0.0,ALLISON,Clam,Clam (Generic),A,Peru
AGL,HLBU9889784,COSTCO WHOLESALE,01/19/2024,480.0,14400.0,30.0,30.0,0.0,ALLISON,Clam,Clam (Generic),A,Peru
AGL,HLBU9889784,COSTCO WHOLESALE,01/20/2024,720.0,21600.0,30.0,30.0,0.0,ALLISON,Clam,Clam (Generic),A,Peru
AGL,HLBU9902778,COSTCO WHOLESALE,01/04/2024,1600.0,57600.0,36.0,36.0,0.0,CANDY SNAP,Clam,Clam (Generic),A,Peru
AGL,HLBU9919533,COSTCO WHOLESALE,01/29/2024,1600.0,48000.0,30.0,30.0,0.0,ALLISON,Clam,Clam (Generic),A,Peru
AGL,HLBU9956250,COSTCO WHOLESALE,01/20/2024,720.0,25920.0,36.0,36.0,0.0,ALLISON,Clam,Clam (Generic),A,Peru
AGL,HLBU9956250,COSTCO WHOLESALE,01/20/2024,880.0,26400.0,30.0,30.0,0.0,ALLISON,Clam,Clam (Generic),A,Peru
AGL,HLBU9962571,COSTCO WHOLESALE,01/23/2024,800.0,24000.0,30.0,30.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,HLBU9962571,COSTCO WHOLESALE,01/23/2024,560.0,16800.0,30.0,30.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,HLBU9962571,COSTCO WHOLESALE,01/27/2024,240.0,7200.0,30.0,30.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,HLBU9967568,COSTCO WHOLESALE,01/20/2024,880.0,31680.0,36.0,36.0,0.0,ALLISON,Clam,Clam (Generic),A,Peru
AGL,HLBU9967568,COSTCO WHOLESALE,01/22/2024,720.0,21600.0,30.0,30.0,0.0,ALLISON,Clam,Clam (Generic),A,Peru
AGL,HLBU9971681,COSTCO WHOLESALE,01/05/2024,1600.0,56960.0,35.6,35.6,0.0,CANDY SNAP,Clam,Clam (Generic),A,Peru
AGL,HLBU9972219,COSTCO WHOLESALE,01/19/2024,1520.0,54720.0,36.0,36.0,0.0,ALLISON,Clam,Clam (Generic),A,Peru
AGL,HLBU9972219,D.L.J. PRODUCE,01/19/2024,80.0,2960.0,37.0,37.0,0.0,ALLISON,Clam,Clam (Generic),A,Peru
AGL,HLBU9977490,COSTCO WHOLESALE,01/30/2024,1200.0,36000.0,30.0,30.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,HLBU9977490,COSTCO WHOLESALE,02/02/2024,400.0,11200.0,28.0,28.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,MEDU9009491,COSTCO WHOLESALE,01/25/2024,560.0,19040.0,34.0,34.0,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,MEDU9009491,COSTCO WHOLESALE,01/26/2024,1040.0,35360.0,34.0,34.0,0.0,SWEET GLOBE,Clam,Clam (Generic),A,Peru
AGL,MEDU9622749,COSTCO WHOLESALE,02/01/2024,480.0,14400.0,30.0,30.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,MEDU9622749,COSTCO WHOLESALE,02/02/2024,720.0,20160.0,28.0,28.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,MEDU9622749,COSTCO WHOLESALE,02/05/2024,80.0,2240.0,28.0,28.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
AGL,MEDU9622749,COSTCO WHOLESALE,02/08/2024,320.0,9600.0,30.0,30.0,0.0,CANDY DREAMS,Clam,Clam (Generic),A,Peru
